"id","total_2011","total_2012","total_2013","population_2011","population_2012","population_2013","rate_2011","rate_2012","rate_2013"
"21120",2,1,0,5334,5424,5501,0.37,0.18,0
"21121",0,0,0,1124,1119,1108,0,0,0
"21122",1,3,7,9786,9919,10042,0.1,0.3,0.7
"21123",0,1,2,4141,4135,4122,0,0.24,0.49
"21124",2,1,7,14978,15177,15368,0.13,0.066,0.46
"21125",0,4,13,8594,8785,8927,0,0.46,1.5
"21126",0,1,3,6052,6146,6221,0,0.16,0.48
"21127",1,3,3,3819,3816,3808,0.26,0.79,0.79
"21128",0,7,11,8358,8451,8542,0,0.83,1.3
"21129",2,3,2,13117,13256,13393,0.15,0.23,0.15
"21130",1,0,3,3498,3518,3540,0.29,0,0.85
"21131",0,1,0,901,912,920,0,1.1,0
"21132",343,461,483,146118,147968,149736,2.3,3.1,3.2
"21133",0,0,0,641,638,628,0,0,0
"21134",0,13,7,20190,20528,20832,0,0.63,0.34
"21135",0,0,0,595,594,593,0,0,0
"21136",0,11,11,11994,12128,12259,0,0.91,0.9
"21137",1,1,2,9524,9644,9758,0.1,0.1,0.2
"21138",0,1,2,11151,11276,11392,0,0.089,0.18
"21139",1,2,4,3672,3714,3750,0.27,0.54,1.1
"21140",265,270,586,124247,125612,126944,2.1,2.1,4.6
"21141",0,1,0,3493,3520,3544,0,0.28,0
"21142",3,19,23,28559,28895,29224,0.11,0.66,0.79
"21143",2,7,10,29984,30620,31188,0.067,0.23,0.32
"21144",2,14,22,14085,14288,14483,0.14,0.98,1.5
"21145",0,0,1,13815,13880,13956,0,0,0.072
"21146",0,0,0,896,900,902,0,0,0
"21147",0,1,2,6066,6094,6123,0,0.16,0.33
"21148",0,10,2,7971,7937,7862,0,1.3,0.25
"21149",2,4,12,23154,23642,24086,0.086,0.17,0.5
"21150",0,4,0,7288,7367,7416,0,0.54,0
"21151",2,2,6,8256,8344,8426,0.24,0.24,0.71
"21152",2,0,3,12011,12094,12180,0.17,0,0.25
"21153",5,15,14,21066,21359,21636,0.24,0.7,0.65
"21154",111,165,114,74416,75518,76582,1.5,2.2,1.5
"21155",3,2,2,5644,5726,5804,0.53,0.35,0.34
"21156",773,809,701,283290,286308,289404,2.7,2.8,2.4
"21157",6,13,8,11712,11833,11938,0.51,1.1,0.67
"21158",2,3,2,6876,6896,6918,0.29,0.44,0.29
"21159",0,0,1,4037,4030,4012,0,0,0.25
"21160",0,0,0,3210,3234,3254,0,0,0
"21161",2,5,11,19739,20030,20308,0.1,0.25,0.54
"21162",0,0,1,4337,4364,4390,0,0,0.23
"21163",1,6,19,16820,17014,17207,0.059,0.35,1.1
"21164",228,210,218,77663,78760,79821,2.9,2.7,2.7
"21165",0,0,1,1144,1141,1132,0,0,0.88
"21166",2,6,3,8334,8428,8516,0.24,0.71,0.35
"21167",0,2,4,10509,10596,10678,0,0.19,0.37
"21168",13,4,4,6753,6804,6858,1.9,0.59,0.58
"21169",1,4,6,21060,21226,21387,0.047,0.19,0.28
"21170",0,3,5,16747,16829,16928,0,0.18,0.3
"21171",0,0,1,3526,3586,3627,0,0,0.28
"21172",0,4,4,26538,26763,26992,0,0.15,0.15
"21173",0,4,5,5840,5885,5934,0,0.68,0.84
"21174",165,163,105,94782,95607,96464,1.7,1.7,1.1
"21175",0,1,8,10004,10050,10105,0,0.1,0.79
"21176",2,2,7,8576,8616,8664,0.23,0.23,0.81
"21177",14,12,24,49768,50250,50763,0.28,0.24,0.47
"21178",1,4,4,17372,17407,17462,0.058,0.23,0.23
"21179",7,10,13,29400,29676,29956,0.24,0.34,0.43
"21180",8,9,11,37707,38118,38523,0.21,0.24,0.29
"21181",1,6,3,6490,6562,6632,0.15,0.91,0.45
"21182",1,0,3,4960,5001,5046,0.2,0,0.59
"21183",7,4,5,20252,20368,20508,0.35,0.2,0.24
"21184",0,2,1,6591,6654,6706,0,0.3,0.15
"21185",1,2,3,8654,8734,8809,0.12,0.23,0.34
"21186",3,19,16,53268,53892,54489,0.056,0.35,0.29
"21187",1,1,1,5515,5532,5548,0.18,0.18,0.18
"21188",2,3,5,17814,18110,18378,0.11,0.17,0.27
"21189",2,9,6,20372,20606,20840,0.098,0.44,0.29
"21190",0,1,0,1184,1192,1198,0,0.84,0
"21191",1,7,7,9531,9636,9727,0.1,0.73,0.72
"21192",0,0,0,6118,6162,6182,0,0,0
"21193",0,1,0,6429,6496,6556,0,0.15,0
"21194",14,42,37,28740,29011,29283,0.49,1.4,1.3
"21195",1,6,3,25395,25848,26227,0.039,0.23,0.11
"21196",1,0,0,1737,1770,1783,0.58,0,0
"21197",20,53,87,77764,78439,79143,0.26,0.68,1.1
"21198",0,0,0,1262,1267,1272,0,0,0
"21199",1,12,10,39145,39571,40011,0.026,0.3,0.25
"21200",1,1,0,3964,3971,3975,0.25,0.25,0
"21201",0,0,1,3278,3308,3338,0,0,0.3
"21202",1,2,4,12522,12598,12683,0.08,0.16,0.32
"21203",1,1,0,6268,6341,6409,0.16,0.16,0
"21204",1,0,2,7752,7829,7908,0.13,0,0.25
"21205",1,6,10,23798,24082,24366,0.042,0.25,0.41
"21206",0,0,0,4362,4406,4447,0,0,0
"21207",37,21,18,54724,55190,55682,0.68,0.38,0.32
"21208",120,50,116,78938,79979,80910,1.5,0.63,1.4
"21209",0,3,6,8462,8549,8634,0,0.35,0.69
"21210",0,0,0,5772,5832,5859,0,0,0
"21211",4,5,14,15982,16175,16365,0.25,0.31,0.86
"21212",3,4,4,19862,19972,20100,0.15,0.2,0.2
"21213",0,4,7,12796,12856,12931,0,0.31,0.54
"21214",1,3,9,16226,16422,16610,0.062,0.18,0.54
"21215",0,0,0,4738,4790,4830,0,0,0
"21216",0,0,0,2677,2684,2692,0,0,0
"21217",2,2,2,21029,21166,21293,0.095,0.094,0.094
"22001",46,59,31,63688,64301,64992,0.72,0.92,0.48
"22002",4,3,3,27493,27616,27794,0.15,0.11,0.11
"22003",2,0,1,13054,13083,13138,0.15,0,0.076
"22004",31,29,35,66008,66794,67630,0.47,0.43,0.52
"22005",31,40,20,59897,60644,61438,0.52,0.66,0.33
"22006",193,255,256,153852,159103,163697,1.3,1.6,1.6
"22007",52,54,37,39095,39524,39993,1.3,1.4,0.93
"22008",15,22,13,36417,36780,37204,0.41,0.6,0.35
"22009",12,7,17,26574,27024,27470,0.45,0.26,0.62
"22010",5,9,5,20247,20342,20474,0.25,0.44,0.24
"22011",128,210,244,126895,132020,136550,1,1.6,1.8
"22012",81,72,69,66091,67033,68000,1.2,1.1,1
"22013",3,1,1,18792,18912,19060,0.16,0.053,0.052
"22014",2757,3113,3255,825488,835945,846770,3.3,3.7,3.8
